Nukteli,Mediterranean/Turkish/Italian/Seafood/Grill/Vegetarian Friendly/Vegan Options/,250,214,5.0,39.89332,32.70149,883,15812486
L'avare Stage & Street,Italian/Bar/European/Vegetarian Friendly/Vegan Options/Gluten Free Options/,283,395,4.5,39.894676,32.85823,667,12452902
Pizzeria Alla Torre,Pizza/Vegetarian Friendly/Vegan Options/,326,74,5.0,39.886223,32.855885,569,23905193
Trilye Restaurant,Seafood/Vegetarian Friendly/,460,1174,4.5,39.894047,32.872025,719,788195
Pizza Il Forno,Pizza/Vegetarian Friendly/Vegan Options/Halal/,200,448,4.0,39.876465,32.860516,846,4167475
Kebap 49,Middle Eastern/Halal/,244,947,4.0,39.907364,32.86009,563,1077362
Louise Brasserie & Lounge,Bar/European/Healthy/Gastropub/Vegetarian Friendly/Vegan Options/Halal/Gluten Free Options/,346,196,4.5,39.89738,32.87176,718,9466866
Lucera Restaurant,Mediterranean/Turkish/,212,42,5.0,39.774696,32.803776,1075,24179929
Duveroglu,Turkish/Healthy/Halal/,236,1101,4.0,39.92257,32.84298,364,803080
Meyhane Asina,Mediterranean/Turkish/Vegetarian Friendly/Vegan Options/,216,187,4.5,39.892883,32.850693,666,7997277
Timboo Cafe Kentpark,Cafe/Vegetarian Friendly/Vegan Options/Halal/,255,637,4.0,39.909424,32.775978,554,2685544
No4 Restaurant Bar Lounge,Bar/European/International/Vegetarian Friendly/Vegan Options/,325,232,4.5,39.914505,32.806965,503,4007917
Gunaydin Kebap Restaurant,Steakhouse/Barbecue/Turkish/Halal/,430,527,4.0,39.89781,32.86696,644,1778629
Masabasi Kebapcisi,Barbecue/Turkish/Halal/,228,599,4.0,39.910522,32.820274,185,3470003
Mersinli Cigerci Apo,Turkish/Halal/,203,470,4.0,39.909664,32.8182,236,8533512
Sur Balik Cankaya,Healthy/Mediterranean/Turkish/Vegetarian Friendly/,364,94,4.5,39.89275,32.871563,670,6672527
Fige Restaurant Bar,Turkish/Vegetarian Friendly/Vegan Options/Halal/Gluten Free Options/,383,292,4.0,39.88536,32.857147,630,806432
Pecenek Doner,Turkish/Halal/,226,305,4.0,39.949688,32.84468,737,4856174
libertea coffee&food,Fast Food/European/Turkish/,244,27,5.0,39.94433,32.82618,629,25406628
Bayram Usta Yaprak Kebap,Barbecue/Turkish/Halal/,258,182,4.5,39.866463,32.85999,924,10138557
Afitap Meyhane,Seafood/Mediterranean/Turkish/Vegetarian Friendly/Vegan Options/Halal/Gluten Free Options/,232,198,4.0,39.907307,32.859116,520,12972925
Tavaci Recep Usta,Turkish/Halal/,356,857,4.0,39.884705,32.84593,784,3405010
Kitir,Street Food/Halal/,286,239,4.0,39.90267,32.86017,599,2670586
Kumsal Lokantasi,American/Vegetarian Friendly/Halal/,200,163,4.5,39.89568,32.868977,620,2670562
Bayram Usta Yaprak Kebap,Turkish/,257,88,4.5,39.898327,32.811607,562,12403925
Cafe des Cafes,Cafe/European/Fusion/Vegetarian Friendly/Vegan Options/Halal/Gluten Free Options/,282,285,4.0,39.90656,32.86116,523,786552
Yelken Balik,Seafood/Mediterranean/Vegetarian Friendly/Halal/Gluten Free Options/,339,199,4.5,39.897636,32.86932,694,5233196
Bolu Akin Lokantasi,Turkish/Halal/,267,113,4.5,39.946926,32.76431,756,2681661
Meshur Ozcelik Aspava,Turkish/Halal/,244,224,4.0,39.90659,32.866657,686,2673415
NRY Restaurant,Pizza/Chinese/Street Food/Dining bars/Beer restaurants/Vegetarian Friendly/Vegan Options/,104,69,4.5,39.882656,32.85647,649,7344504
The Gang Bbq,American/German/Barbecue/,282,38,5.0,39.895077,32.856224,629,19142128
Urumci Uygur Restaurant,Asian/Turkish/Vegetarian Friendly/Halal/,290,66,4.5,39.925697,32.864693,703,10062024
Meymenet Meyhane,Turkish/,109,96,4.5,39.892822,32.851032,662,16673758
Kebapci Emin Usta,Turkish/Barbecue/Halal/,281,106,4.5,39.936867,32.863888,810,3537873
Uludag KebapcIsI,Turkish/Halal/,215,308,4.0,39.934647,32.85736,581,816110
Kirit Cafe,Cafe/International/Turkish/Halal/Vegetarian Friendly/Vegan Options/,221,124,4.5,39.937096,32.863792,819,2685605
Camgoz Balikcisi,Seafood/Mediterranean/Turkish/Halal/,401,164,4.0,39.893375,32.86876,578,8154496
Quick China,Chinese/Japanese/Sushi/Asian/Vegetarian Friendly/Vegan Options/Halal/,355,164,4.0,39.871464,32.682003,1085,3343884
Cigerci Aydin,Turkish/Barbecue/Middle Eastern/Halal/,279,104,4.0,39.93236,32.84264,454,2391954
Muslum Kebap,Steakhouse/Barbecue/Turkish/Diner/Halal/,246,233,4.0,39.90435,32.809856,398,8393128
Cukuraga Sofrasi,Steakhouse/Turkish/Halal/,299,296,4.0,39.916607,32.818985,117,3458935
La Gioia,European/Vegetarian Friendly/Vegan Options/Gluten Free Options/,236,210,4.0,39.900593,32.862362,695,6982141
Adana Sofrasi,Barbecue/Turkish/Middle Eastern/Halal/,299,186,4.0,39.875893,32.86196,809,3330349
Nefise'nin Yeri Cerkes Manti Evi,Turkish/Vegetarian Friendly/,292,47,4.5,39.93639,32.865,797,11547001
Deli Yengec,Seafood/Mediterranean/Turkish/Halal/,430,130,4.0,40.05365,32.845657,1877,787159
Masabasi Kebapcisi,Turkish/Halal/,244,100,4.0,39.907215,32.859764,475,13133036
Aruni Restoran & Bar,Bar/International/Turkish/Diner/Wine Bar/,459,34,5.0,39.899864,32.86414,641,11728962
Sekiz Et BalIk Meze,,100,40,5.0,39.822456,32.710484,1297,21284251
Tarihi Mutfak LokantasI,Steakhouse/Barbecue/Turkish/Middle Eastern/Halal/,219,65,4.5,39.918774,32.859585,641,810887
JW Steakhouse Ankara,Steakhouse/Gluten Free Options/,411,117,4.5,39.90937,32.80589,246,2320514
Pikolet Piknik,Turkish/Halal/,238,117,4.0,39.924053,32.84229,305,2672275
Yelken Balik Evi,Seafood/Mediterranean/Turkish/Vegetarian Friendly/Halal/,346,85,4.5,39.88387,32.85447,640,2670752
Goksu Restaurant,Turkish/Bar/Seafood/Vegetarian Friendly/Vegan Options/Halal/,403,150,4.0,39.90469,32.867832,644,3200581
Alacamli Pide,Turkish/Halal/,279,82,4.5,39.892857,32.701588,891,8556315
Cennetkusu Kebap,Turkish/Halal/,109,132,4.0,39.879986,32.687706,1132,8541819
Konakbay Ciborek ve Manti,,247,42,4.5,39.90575,32.821434,321,10296656
Chinabloom Ankara,Chinese/,422,60,4.5,39.89506,32.704174,776,15574829
Etmanyak Burger&Sosis,Street Food/American/Fast Food/,214,89,4.0,39.89666,32.85611,585,16697192
Manti Klasik,Turkish/,207,25,5.0,39.89514,32.8761,822,16434067
Cankaya Lokantasi,Turkish/Halal/,288,61,4.5,39.90461,32.85007,504,2678894
Naya Restaurant & Lounge,Italian/French/Japanese/Turkish/,459,26,4.5,39.886566,32.855457,575,25053814
Basil,Mediterranean/Healthy/,255,18,5.0,39.896755,32.868816,636,24126236
Kebapci Canbolat,,119,32,4.5,39.9636,32.870457,895,11550302
Ege Restaurant,Seafood/Mediterranean/Turkish/,244,73,4.0,39.907658,32.861656,505,782137
Cigerci Bahattin,Turkish/Barbecue/Halal/,202,186,4.0,39.91769,32.81708,296,9740221
Knafe Restaurant,,207,69,4.5,39.869083,32.68546,1097,10070116
Pizza Silla,Italian/Pizza/Fast Food/Vegetarian Friendly/,214,36,4.5,39.989983,32.688374,1372,12351469
Gunaydin Kasap Steak House,Steakhouse/Barbecue/Turkish/Halal/,341,184,4.0,39.898224,32.86531,629,3477524
Yayla Karadeniz,Turkish/Vegetarian Friendly/Halal/,245,82,4.5,40.17961,33.020245,2536,8846971
Chef Bro's,Seafood/Mediterranean/Turkish/,442,49,4.0,39.89782,32.86449,666,23611577
Amelie's Garden Succulent & Coffee,Cafe/,226,64,4.5,39.90027,32.85756,450,12972401
Marti Restaurant,Turkish/,248,32,4.5,39.920494,32.857937,644,9729701
Luigi’s,Italian/European/Mediterranean/Vegetarian Friendly/,450,126,4.0,39.885967,32.856255,550,15711776
Rumeli Iskembe Salonu,Turkish/Soups/Halal/,210,128,4.0,39.90658,32.859997,493,2679271
Nusr-et Steakhouse Ankara,Halal/,477,463,3.5,39.899376,32.864883,733,3870098
Badem Restaurant,Turkish/,298,13,5.0,39.90879,32.85285,439,17609939
zigana pide,Turkish/Halal/,272,247,4.0,39.94639,32.76361,822,5892127
Balikcikoy Fahri,Seafood/Mediterranean/Turkish/Vegan Options/Halal/,368,161,4.0,39.87385,32.68419,1040,2677024
Yildiz Aspava,Turkish/Halal/,210,79,4.0,39.906605,32.866726,686,2678817
Marlinda Lokanta & Cafe,Turkish/Bar/Mediterranean/Pub/Middle Eastern/Indigenous/Vegetarian Friendly/Vegan Options/,225,106,4.0,39.90867,32.776443,561,10497842
Ustunel Kofte,Turkish/Halal/,291,115,4.0,39.94784,32.85137,715,4893782
Patile Cafe,Mediterranean/Turkish/Cafe/Vegetarian Friendly/,289,94,4.0,39.87567,32.875145,907,948170
Hatun Pastanesi,,206,25,5.0,39.90273,32.867313,737,6977340
Ege BalIk tepe prime,Seafood/,290,54,4.5,39.908802,32.755062,713,8143918
Double Zero Pizzeria,Pizza/Vegetarian Friendly/Vegan Options/,204,92,4.0,39.891876,32.874073,678,10376367
Duveroglu Kebab & Baklava Hall,Turkish/Halal/,261,108,4.0,39.922447,32.8429,344,3350291
Duveroglu Bilkent,Turkish/Steakhouse/,297,88,4.0,39.885353,32.763214,627,12927393
Kalbur Balik,Seafood/Mediterranean/Turkish/Halal/,218,164,4.0,39.848957,32.822018,749,3331053
baklavaci hacibaba,Turkish/Halal/,234,230,4.0,39.89236,32.812683,427,3336680
The Cork Gastropub,Bar/Pub/Vegetarian Friendly/Vegan Options/,277,53,4.5,39.888596,32.8502,736,11668050
Burgerdinho,American/,265,25,4.5,39.89982,32.85939,465,17206177
Muslum Kebap,,289,36,4.5,39.8924,32.70239,802,13966277
Unique Burgers,American/,239,67,4.0,39.93114,32.826538,417,15595136
Cafemiz,Cafe/European/Turkish/International/Vegetarian Friendly/Vegan Options/Halal/,204,213,4.0,39.897923,32.865707,636,945156
Can Balik,Seafood/,83,70,4.0,39.92193,32.85472,563,3451052
N.E.T. Piknik,Turkish/,269,69,4.0,39.922485,32.85599,678,2678347
Kinacizade Konagi,Turkish/Halal/Vegetarian Friendly/Vegan Options/,249,68,4.0,39.93878,32.8647,924,2685607
Hayrag'nin yeri,Turkish/,229,66,4.0,39.92362,32.856148,597,3476047
Hatay Sofrasi Hattena,Turkish/Vegetarian Friendly/Halal/,276,120,4.0,39.906002,32.821346,315,6762365
Taka,Seafood/Turkish/,207,86,4.0,39.913532,32.80387,394,11706813
BIGBANG BURGER,Fast Food/Diner/,269,81,4.0,39.907726,32.859657,460,7890936
Dafne Restaurant,Turkish/Halal/,251,125,4.0,39.893665,32.851383,649,802937
Meshur Cengiz Yildirim Aspava,Turkish/,455,46,4.0,39.934128,32.837223,393,10796433
Besiktas Donercisi,,200,45,4.5,39.94073,32.857426,852,3445176
Kesman Ciger,Turkish/Halal/,260,134,4.0,39.911926,32.821068,154,2678136
The Bigos - Bahcelievler,Bar/Pub/International/,226,129,4.0,39.924557,32.824917,248,3576296
Cigerim Ahmet Usta,Turkish/,206,43,4.5,39.920048,32.858578,619,11657936
